Code Domaine,Domaine,Code zone (M49),Zone,Code Élément,Élément,Code Produit (CPC),Produit,Code année,Année,Unité,Valeur,Symbole,Description du Symbole
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","28228749","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","28600486.57","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","636849","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","639299.89","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","388176","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","401459.36","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","2570759.7","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","2451862.3","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","145447.46","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","139102.87","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","174448.62","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","004","Afghanistan","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","165236.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","51306880","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","51141829.88","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","944561","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","927473.69","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","1140036","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","1232606.24","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2018","2018","million kcal","9939644.12","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","661","Disponibilité alimentaire (Kcal)","S2941","Produits Animaux","2019","2019","million kcal","10298140.6","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2018","2018","g","751021.63","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","671","Disponibilité de protéines en quantité (g)","S2941","Produits Animaux","2019","2019","g","797949.36","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2018","2018","g","709566.72","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","710","Afrique du Sud","681","Disponibilité de matière grasse en quantité (g)","S2941","Produits Animaux","2019","2019","g","717959.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2018","2018","million kcal","2415962","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","661","Disponibilité alimentaire (Kcal)","S2903","Produits Vegetaux","2019","2019","million kcal","2418023.74","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","54749","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","671","Disponibilité de protéines en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","55685.96","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2018","2018","g","50169","E","Valeur estimée"
"FBS","Bilans Alimentaires (2010-)","008","Albanie","681","Disponibilité de matière grasse en quantité (g)","S2903","Produits Vegetaux","2019","2019","g","47268.34","E","Valeur estimée"
